dropoutRate,kernLength,F1,D,F2,bandpass,amplitude_magnification,accuracy
0.25,32,8,2,32,"[4, 40]",1000,0.5555555555555556
0.25,32,8,2,32,"[4, 40]",2000,0.5763888888888888
0.25,32,8,2,32,"[8, 30]",1000,0.576388888888889
0.25,32,8,2,32,"[8, 30]",2000,0.5659722222222222
0.25,32,8,4,16,"[4, 40]",1000,0.5902777777777778
0.25,32,8,4,16,"[4, 40]",2000,0.5868055555555556
0.25,32,8,4,16,"[8, 30]",1000,0.5833333333333334
0.25,32,8,4,16,"[8, 30]",2000,0.5520833333333333
0.25,32,8,4,32,"[4, 40]",1000,0.5173611111111112
0.25,32,8,4,32,"[4, 40]",2000,0.5694444444444444
0.25,32,8,4,32,"[8, 30]",1000,0.5972222222222223
0.25,32,8,4,32,"[8, 30]",2000,0.5520833333333334
0.25,32,16,2,16,"[4, 40]",1000,0.6006944444444444
0.25,32,16,2,16,"[4, 40]",2000,0.607638888888889
0.25,32,16,2,16,"[8, 30]",1000,0.5625
0.25,32,16,2,16,"[8, 30]",2000,0.5486111111111112
0.25,32,16,2,32,"[4, 40]",1000,0.5763888888888888
0.25,32,16,2,32,"[4, 40]",2000,0.5763888888888888
0.25,32,16,2,32,"[8, 30]",1000,0.5277777777777778
0.25,32,16,2,32,"[8, 30]",2000,0.5868055555555556
0.25,32,16,4,16,"[4, 40]",1000,0.5694444444444444
0.25,32,16,4,16,"[4, 40]",2000,0.59375
0.25,32,16,4,16,"[8, 30]",1000,0.53125
0.25,32,16,4,16,"[8, 30]",2000,0.5451388888888888
0.25,32,16,4,32,"[4, 40]",1000,0.5520833333333334
0.25,32,16,4,32,"[4, 40]",2000,0.6076388888888888
0.25,32,16,4,32,"[8, 30]",1000,0.545138888888889
0.25,32,16,4,32,"[8, 30]",2000,0.5555555555555556
0.5,16,8,2,16,"[4, 40]",1000,0.6111111111111112
0.5,16,8,2,16,"[4, 40]",2000,0.5659722222222222
0.5,16,8,2,16,"[8, 30]",1000,0.5381944444444444
0.5,16,8,2,16,"[8, 30]",2000,0.5659722222222222
0.5,16,8,2,32,"[4, 40]",1000,0.5625
0.5,16,8,2,32,"[4, 40]",2000,0.5486111111111112
0.5,16,8,2,32,"[8, 30]",1000,0.53125
0.5,16,8,2,32,"[8, 30]",2000,0.5763888888888888
0.5,16,8,4,16,"[4, 40]",1000,0.5659722222222222
0.5,16,8,4,16,"[4, 40]",2000,0.607638888888889
0.5,16,8,4,16,"[8, 30]",1000,0.5520833333333334
0.5,16,8,4,16,"[8, 30]",2000,0.5555555555555556
0.5,16,8,4,32,"[4, 40]",1000,0.5833333333333333
0.5,16,8,4,32,"[4, 40]",2000,0.5659722222222222
0.5,16,8,4,32,"[8, 30]",1000,0.5729166666666666
0.5,16,8,4,32,"[8, 30]",2000,0.5520833333333333
0.5,16,16,2,16,"[4, 40]",1000,0.5902777777777778
0.5,16,16,2,16,"[4, 40]",2000,0.5451388888888888
0.5,16,16,2,16,"[8, 30]",1000,0.5694444444444444
0.5,16,16,2,16,"[8, 30]",2000,0.5277777777777778
0.5,16,16,2,32,"[4, 40]",1000,0.5451388888888888
0.5,16,16,2,32,"[4, 40]",2000,0.5694444444444444
0.5,16,16,2,32,"[8, 30]",1000,0.548611111111111
0.5,16,16,2,32,"[8, 30]",2000,0.5868055555555556
0.5,16,16,4,16,"[4, 40]",1000,0.5347222222222223
0.5,16,16,4,16,"[4, 40]",2000,0.576388888888889
0.5,16,16,4,16,"[8, 30]",1000,0.5868055555555555
0.5,16,16,4,16,"[8, 30]",2000,0.5347222222222222
0.5,16,16,4,32,"[4, 40]",1000,0.5729166666666667
0.5,16,16,4,32,"[4, 40]",2000,0.5520833333333334
0.5,16,16,4,32,"[8, 30]",1000,0.5590277777777778
0.5,16,16,4,32,"[8, 30]",2000,0.5451388888888888
0.5,32,8,2,16,"[4, 40]",1000,0.5590277777777779
0.5,32,8,2,16,"[4, 40]",2000,0.59375
0.5,32,8,2,16,"[8, 30]",1000,0.5555555555555556
0.5,32,8,2,16,"[8, 30]",2000,0.5972222222222223
0.5,32,8,2,32,"[4, 40]",1000,0.6041666666666666
0.5,32,8,2,32,"[4, 40]",2000,0.5902777777777778
0.5,32,8,2,32,"[8, 30]",1000,0.5763888888888888
0.5,32,8,2,32,"[8, 30]",2000,0.6006944444444444
0.5,32,8,4,16,"[4, 40]",1000,0.5902777777777777
0.5,32,8,4,16,"[4, 40]",2000,0.5729166666666667
0.5,32,8,4,16,"[8, 30]",1000,0.6180555555555556
0.5,32,8,4,16,"[8, 30]",2000,0.59375
0.5,32,8,4,32,"[4, 40]",1000,0.5381944444444444
0.5,32,8,4,32,"[4, 40]",2000,0.6215277777777778
0.5,32,8,4,32,"[8, 30]",1000,0.59375
0.5,32,8,4,32,"[8, 30]",2000,0.5763888888888888
